detail_id,detail_name,detail_name_norm
6597,전산사무행정과,전산사무행정과
6598,전산세무회계과,전산세무회계과
6599,전산전자공학부,전산전자공학부
6600,전산통계학과,전산통계학과
6601,전산학부,전산학부
6602,전시디자인과,전시디자인과
6603,전시디자인학과,전시디자인학과
6604,전시콘텐츠디자인과,전시콘텐츠디자인과
6605,전시콘텐츠디자인학과,전시콘텐츠디자인학과
6606,전인교육원,전인교육원
6607,전자CAD과,전자cad과
6608,전자IT기계자동차공학부,전자it기계자동차공학부
6609,전자IT미디어공학과,전자it미디어공학과
6610,전자IT융합전공,전자it융합전공
6611,전자SW공학과,전자sw공학과
6612,전자·기계융합공학과,전자기계융합공학과
6613,전자·전기공학과,전자전기공학과
6614,전자·전기공학부,전자전기공학부
6615,전자·정보통신공학과,전자정보통신공학과
6616,전자·정보통신공학전공,전자정보통신공학전공
6617,전자·제어공학과,전자제어공학과
6618,전자ᆞ반도체공학부,전자반도체공학부
6619,전자ᆞ반도체공학부(전자공학전공),전자반도체공학부전자공학전공
6620,전자ᆞ보안공학부,전자보안공학부
6621,전자ᆞ인공지능융합전공,전자인공지능융합전공
6622,전자・보안공학부,전자보안공학부
6623,전자・통신과,전자통신과
6624,전자계열,전자계열
6625,전자공학,전자공학
6626,전자공학과,전자공학과
6627,전자공학과(3년제),전자공학과3년제
6628,전자공학과(e-MU),전자공학과emu
6629,전자공학교육과,전자공학교육과
6630,전자공학나노정보공학전공,전자공학나노정보공학전공
6631,전자공학부,전자공학부
6632,전자공학부(나노전자공학전공),전자공학부나노전자공학전공
6633,전자공학부(시스템반도체전공),전자공학부시스템반도체전공
6634,전자공학부(융합IT공학전공),전자공학부융합it공학전공
6635,전자공학부(인공지능전공),전자공학부인공지능전공
6636,전자공학부(임베디드시스템전공),전자공학부임베디드시스템전공
6637,전자공학부(전자공학전공),전자공학부전자공학전공
6638,전자공학부(정보통신공학전공),전자공학부정보통신공학전공
6639,전자공학부(제어로봇공학전공),전자공학부제어로봇공학전공
6640,전자공학부(지능IoT전공),전자공학부지능iot전공
6641,전자공학부(차세대반도체전공),전자공학부차세대반도체전공
6642,전자공학부모바일공학전공,전자공학부모바일공학전공
6643,전자공학전공,전자공학전공
6644,전자과,전자과
6645,전자기기융합과,전자기기융합과
6646,전자로봇ᆞ보안학부(스마트융합보안전공),전자로봇보안학부스마트융합보안전공
6647,전자로봇ᆞ보안학부(전자로봇전공),전자로봇보안학부전자로봇전공
6648,전자로봇공학과,전자로봇공학과
6649,전자물리,전자물리
6650,전자물리학과,전자물리학과
6651,전자및의용공학부,전자및의용공학부
6652,전자및전파전공,전자및전파전공
6653,전자및정보공학과,전자및정보공학과
6654,전자바이오물리학과,전자바이오물리학과
6655,전자상거래학과,전자상거래학과
6656,전자시스템공학전공,전자시스템공학전공
6657,전자융합공학과,전자융합공학과
6658,전자융합공학부,전자융합공학부
6659,전자자동화과,전자자동화과
6660,전자재료공학,전자재료공학
6661,전자재료공학과,전자재료공학과
6662,전자재료공학부,전자재료공학부
6663,전자전공,전자전공
6664,전자전기공학계열,전자전기공학계열
6665,전자전기공학과,전자전기공학과
6666,전자전기공학부,전자전기공학부
6667,전자전기공학부(전기공학전공),전자전기공학부전기공학전공
6668,전자전기공학부(전자공학전공),전자전기공학부전자공학전공
6669,전자전기공학부(정보통신공학전공),전자전기공학부정보통신공학전공
6670,전자전기공학전공,전자전기공학전공
6671,전자전기융합공학과,전자전기융합공학과
6672,전자전기정보공학부(나노반도체공학전공),전자전기정보공학부나노반도체공학전공
6673,전자전기정보공학부(데이터사이언스전공),전자전기정보공학부데이터사이언스전공
6674,전자전기정보공학부(전기전자공학전공),전자전기정보공학부전기전자공학전공
6675,전자전기정보공학부(전자정보통신공학전공),전자전기정보공학부전자정보통신공학전공
6676,전자전기정보공학부(전자통신공학전공),전자전기정보공학부전자통신공학전공
6677,전자전기정보공학부(전파융합공학전공),전자전기정보공학부전파융합공학전공
6678,전자전기컴퓨터공학부,전자전기컴퓨터공학부
6679,전자정보계열,전자정보계열
6680,전자정보계열(2년제),전자정보계열2년제
6681,전자정보계열(미래자동차전자과),전자정보계열미래자동차전자과
6682,전자정보공학과,전자정보공학과
6683,전자정보공학부,전자정보공학부
6684,전자정보공학부 반도체공학과,전자정보공학부반도체공학과
6685,전자정보공학부 전자공학과,전자정보공학부전자공학과
6686,전자정보과,전자정보과
6687,전자정보통신공학과,전자정보통신공학과
6688,전자정보통신공학부,전자정보통신공학부
6689,전자정보통신과,전자정보통신과
6690,전자정보통신전공(컴퓨터정보통신과),전자정보통신전공컴퓨터정보통신과
6691,전자출판인쇄공학전공,전자출판인쇄공학전공
6692,전자컴퓨터공학과,전자컴퓨터공학과
6693,전자컴퓨터공학부,전자컴퓨터공학부
6694,전자컴퓨터학부,전자컴퓨터학부
6695,전자통신AI공학과,전자통신ai공학과
6696,전자통신공학과,전자통신공학과
