detail_id,integrated_code
5956,56
6240,56
6245,56
6355,56
6424,56
6425,56
6426,56
6430,56
6432,56
6433,56
6434,56
6435,56
7195,56
7794,56
7796,56
7797,56
7802,56
7803,56
7804,56
7825,56
7908,56
8702,56
8703,56
1053,57
7283,57
7860,57
1042,59
1054,59
1055,59
1058,59
1059,59
1060,59
1061,59
1062,59
1065,59
1066,59
1067,59
1068,59
1069,59
1070,59
1071,59
1348,59
2834,59
3680,59
3681,59
5571,59
5579,59
6157,59
6260,59
6994,59
6995,59
7185,59
7299,59
7779,59
7780,59
7781,59
7782,59
7786,59
7790,59
7791,59
7792,59
7793,59
7794,59
7795,59
8735,59
33,61
483,61
1072,61
1073,61
1074,61
1075,61
1939,61
2097,61
2103,61
4579,61
7223,61
7231,61
7232,61
7234,61
7235,61
7236,61
7238,61
7239,61
7242,61
7243,61
7244,61
7247,61
7248,61
7251,61
7261,61
7262,61
7263,61
7264,61
7265,61
7269,61
1130,68
1131,68
7908,68
7909,68
7910,68
7911,68
7912,68
157,69
349,69
350,69
352,69
1132,69
1136,69
1139,69
1140,69
1141,69
1142,69
1143,69
1144,69
1145,69
1183,69
1454,69
1470,69
1496,69
2089,69
2090,69
2091,69
2092,69
5724,69
6257,69
7896,69
7914,69
7916,69
7917,69
7918,69
7919,69
7920,69
7921,69
7922,69
7924,69
7925,69
7926,69
7927,69
7929,69
7930,69
7931,69
197,70
647,70
648,70
649,70
650,70
651,70
1157,70
1158,70
1159,70
1187,70
1188,70
1194,70
1241,70
1243,70
1244,70
1245,70
1246,70
1248,70
1249,70
1250,70
1251,70
1252,70
1253,70
1328,70
1469,70
1483,70
1485,70
2066,70
2067,70
2068,70
2070,70
2071,70
2339,70
2686,70
2718,70
2920,70
3989,70
5157,70
5208,70
5792,70
5793,70
6284,70
6320,70
6978,70
7021,70
7023,70
7024,70
7025,70
7650,70
7651,70
7935,70
7969,70
337,72
362,72
365,72
640,72
642,72
988,72
1186,72
1189,72
1193,72
1195,72
1196,72
1197,72
1204,72
1363,72
1364,72
1365,72
1377,72
1405,72
2562,72
2563,72
2564,72
2565,72
2566,72
2567,72
2568,72
2569,72
2570,72
2672,72
2677,72
3634,72
3973,72
4431,72
5796,72
5821,72
8146,72
1199,74
1240,74
1347,74
1366,74
1368,74
2005,74
2079,74
5154,74
5781,74
5782,74
6987,74
7900,74
7901,74
7915,74
184,77
185,77
2342,77
4808,77
6972,77
1537,78
1539,78
6451,78
6967,78
6968,78
6971,78
6972,78
6973,78
1540,79
1541,79
1542,79
1592,79
1780,79
3405,79
4958,79
5646,79
6467,79
6471,79
834,82
1553,82
1559,82
1568,82
1576,82
1580,82
1582,82
1586,82
6391,82
6479,82
177,83
178,83
249,83
251,83
626,83
637,83
1175,83
1176,83
1177,83
1349,83
1350,83
1351,83
1352,83
1549,83
1550,83
1551,83
1555,83
1556,83
1557,83
1560,83
1561,83
1565,83
1566,83
1569,83
1570,83
1571,83
1573,83
1574,83
1575,83
1577,83
1578,83
1583,83
1584,83
1585,83
1759,83
2215,83
2216,83
2218,83
2833,83
3412,83
3455,83
3634,83
3989,83
4318,83
5032,83
6474,83
6475,83
7181,83
7710,83
7885,83
8319,83
15,85
16,85
1588,85
1589,85
1590,85
4394,85
4395,85
4577,85
5308,85
144,86
210,86
252,86
1522,86
1589,86
1591,86
1593,86
1594,86
1595,86
1596,86
1597,86
1600,86
1601,86
1604,86
1606,86
1609,86
1613,86
1615,86
1617,86
1620,86
1621,86
1623,86
1626,86
1634,86
1638,86
1651,86
1652,86
1653,86
1654,86
1655,86
1656,86
1657,86
1658,86
1664,86
1667,86
1669,86
1670,86
1672,86
1674,86
1675,86
1676,86
1677,86
1678,86
1679,86
1680,86
1681,86
1682,86
1683,86
1684,86
1685,86
1686,86
1688,86
1690,86
1691,86
1692,86
1693,86
1696,86
1699,86
1701,86
1702,86
1703,86
1704,86
1706,86
1708,86
1709,86
1711,86
1712,86
1714,86
1715,86
1717,86
1718,86
1809,86
1810,86
1871,86
2106,86
2272,86
2966,86
2984,86
2985,86
3166,86
4092,86
4093,86
4397,86
4400,86
4401,86
4403,86
4420,86
4491,86
4535,86
5036,86
5289,86
5301,86
5310,86
5862,86
5863,86
5864,86
5868,86
5876,86
5884,86
6723,86
6725,86
6945,86
7094,86
7274,86
8709,86
89,87
90,87
91,87
92,87
338,87
900,87
1408,87
1409,87
1410,87
1412,87
1413,87
1614,87
1616,87
1617,87
1618,87
1620,87
1626,87
1627,87
1628,87
1637,87
1654,87
1659,87
1660,87
1662,87
1665,87
1683,87
1684,87
1689,87
1694,87
1710,87
1825,87
1826,87
2106,87
2219,87
2220,87
2221,87
2273,87
2802,87
2803,87
2823,87
3159,87
3915,87
4092,87
4165,87
4375,87
4396,87
4397,87
4398,87
4404,87
4406,87
4408,87
4531,87
4533,87
4573,87
4576,87
4613,87
4769,87
5290,87
5295,87
5296,87
5861,87
5862,87
5865,87
5867,87
6376,87
6380,87
6393,87
6723,87
6724,87
6878,87
7077,87
7078,87
7110,87
7446,87
7667,87
7668,87
8005,87
8006,87
8072,87
1353,88
1602,88
1620,88
1622,88
1639,88
1640,88
1641,88
1642,88
1643,88
1644,88
1645,88
1646,88
1648,88
1649,88
1663,88
1750,88
7980,88
9,89
10,89
12,89
1617,89
1640,89
1647,89
1649,89
1650,89
1661,89
4399,89
4402,89
5866,89
7076,89
7859,89
556,93
1032,93
1057,93
1354,93
1726,93
1727,93
1728,93
1729,93
1730,93
1733,93
1735,93
1736,93
1737,93
1739,93
1740,93
1741,93
1752,94
1753,94
1755,94
1887,94
5050,94
5912,94
5965,94
5976,94
5977,94
754,96
1785,96
1786,96
1790,96
1794,96
1796,96
1797,96
1798,96
1799,96
1802,96
1803,96
1804,96
1807,96
1818,96
5768,96
8548,96
1834,102
1835,102
1836,102
1840,102
1842,102
1843,102
5025,102
5027,102
437,103
1421,103
1837,103
1838,103
1839,103
1840,103
1841,103
1844,103
2831,103
5024,103
5026,103
5033,103
5034,103
5035,103
7365,103
8733,103
18,104
80,104
1872,104
1877,104
1880,104
2797,104
4080,104
4409,104
4410,104
4413,104
4414,104
4594,104
4598,104
4606,104
4817,104
4838,104
5337,104
5668,104
5711,104
5712,104
7132,104
7149,104
427,106
428,106
429,106
761,106
914,106
915,106
1819,106
1820,106
1856,106
1863,106
1865,106
1879,106
3264,106
3265,106
3908,106
4330,106
4331,106
4332,106
4333,106
4580,106
4582,106
4595,106
4599,106
4601,106
4604,106
4605,106
4606,106
4621,106
4632,106
4771,106
4832,106
4833,106
4853,106
4883,106
5240,106
5241,106
5704,106
5838,106
6443,106
6503,106
6819,106
7045,106
7138,106
7211,106
7212,106
7366,106
7703,106
7704,106
8318,106
1849,107
1850,107
1853,107
1867,107
1870,107
1874,107
1875,107
3674,107
4597,107
1906,111
1907,111
7063,111
423,114
5038,114
5039,114
5040,114
5041,114
5042,114
490,117
1178,117
1937,117
1943,117
1948,117
1949,117
1951,117
1952,117
1953,117
1954,117
1955,117
1963,117
1965,117
1970,117
1976,117
1977,117
460,118
473,118
482,118
494,118
1305,118
1935,118
1936,118
1942,118
1944,118
1945,118
1950,118
1958,118
1959,118
1961,118
1971,118
1972,118
1973,118
1980,118
1981,118
1985,118
2206,118
2223,118
2673,118
3732,118
3815,118
4373,118
4417,118
4479,118
4480,118
4481,118
4482,118
4483,118
4484,118
5937,118
5938,118
7071,118
7615,118
1994,120
1988,121
1989,121
1991,121
1992,121
1993,121
1994,121
1995,121
1996,121
2666,121
2891,121
1998,122
1999,122
2000,122
2001,122
2002,122
2003,122
2004,122
2007,122
2008,122
2009,122
2010,122
2011,122
2012,122
2013,122
2014,122
2015,122
2016,122
2017,122
2018,122
2019,122
5783,122
5788,122
5795,122
2006,124
2020,124
2021,124
2022,124
5791,124
2026,126
2037,126
2041,126
2043,126
2046,126
2047,126
2048,126
2049,126
2052,126
2055,126
2056,126
2058,126
2059,126
2060,126
2061,126
2062,126
2063,126
3146,126
3152,126
4053,126
5222,126
5224,126
1478,127
2023,127
2081,127
2082,127
2327,127
2450,127
2451,127
2547,127
2548,127
2897,127
2898,127
3311,127
3312,127
3313,127
5137,127
5138,127
5140,127
5144,127
5146,127
5147,127
5148,127
5149,127
5150,127
5151,127
5153,127
5160,127
5161,127
5162,127
5164,127
6216,127
6217,127
6220,127
6221,127
6224,127
6225,127
7040,127
7041,127
7577,127
7578,127
7579,127
7587,127
7588,127
7774,127
